epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,543.268,0.98637,0.50345,0.99584,0.94436,0.91655,0.96586,0.63049,0.9601,0.45416,1.07804,0.00208,0.00208,0.00208
82,549.876,0.98826,0.51217,0.99689,0.88257,0.90893,0.9284,0.6123,0.96777,0.47075,1.09162,0.001981,0.001981,0.001981
83,556.406,0.9772,0.4987,0.9845,0.86542,0.90855,0.93127,0.61768,0.97114,0.45883,1.08873,0.001882,0.001882,0.001882
84,562.965,0.9709,0.4946,0.98868,0.89806,0.96475,0.95356,0.63489,0.9575,0.44986,1.08869,0.001783,0.001783,0.001783
85,569.604,0.97356,0.49288,0.99164,0.8365,0.87398,0.87674,0.60581,0.96911,0.45195,1.09981,0.001684,0.001684,0.001684
86,576.296,0.97768,0.49402,0.98824,0.90824,0.95706,0.96182,0.63716,0.92783,0.44207,1.07293,0.001585,0.001585,0.001585
87,582.988,0.97976,0.49058,0.98689,0.85065,0.92356,0.93336,0.64228,0.9313,0.43384,1.07086,0.001486,0.001486,0.001486
88,589.501,0.9667,0.49414,0.98856,0.91907,0.903,0.94784,0.65912,0.93821,0.44086,1.05917,0.001387,0.001387,0.001387
89,596.108,0.95169,0.48507,0.98534,0.92544,0.93863,0.95193,0.65285,0.9242,0.43332,1.06843,0.001288,0.001288,0.001288
90,602.728,0.95765,0.48113,0.98136,0.88207,0.93434,0.92504,0.64852,0.93203,0.4394,1.06753,0.001189,0.001189,0.001189
91,629.427,0.9401,0.45792,0.97776,0.90987,0.93833,0.9482,0.648,0.94452,0.4483,1.07518,0.00109,0.00109,0.00109
92,635.995,0.93025,0.44541,0.96388,0.86662,0.89839,0.89996,0.62151,0.95546,0.45249,1.08701,0.000991,0.000991,0.000991
93,642.486,0.93259,0.44423,0.97245,0.94242,0.94405,0.95619,0.632,0.94982,0.43972,1.07943,0.000892,0.000892,0.000892
94,649.086,0.9341,0.43731,0.97574,0.87252,0.87557,0.9074,0.63266,0.95422,0.43672,1.07126,0.000793,0.000793,0.000793
95,655.697,0.92037,0.43296,0.96834,0.93029,0.92851,0.94355,0.654,0.91937,0.42822,1.06936,0.000694,0.000694,0.000694
96,662.206,0.91696,0.43431,0.9681,0.89731,0.92417,0.93681,0.65353,0.92845,0.42228,1.06328,0.000595,0.000595,0.000595
97,668.727,0.89783,0.42305,0.95879,0.88273,0.94452,0.92697,0.65826,0.92403,0.42908,1.06382,0.000496,0.000496,0.000496
98,675.255,0.90988,0.42329,0.95839,0.88814,0.95743,0.93697,0.66317,0.91751,0.42221,1.05713,0.000397,0.000397,0.000397
99,681.775,0.91344,0.42606,0.9675,0.89301,0.93244,0.93653,0.66646,0.91049,0.42094,1.05385,0.000298,0.000298,0.000298
100,688.285,0.90423,0.42057,0.95723,0.89233,0.89712,0.92228,0.64751,0.9205,0.42398,1.06277,0.000199,0.000199,0.000199
